iso3,income_cat,hazard,EPR,N_q,l,di_lab
LKA,0.4,Wind,0.47354,4383200.0,6473.072979296949,1.2667510341353447
LKA,0.6,Earthquake,0.47354,4383200.0,8739.566930115063,0.4252662676308462
LKA,0.6,Flood,0.47354,4383200.0,8739.566930115063,9.254189062675067
LKA,0.6,Storm surge,0.47354,4383200.0,8739.566930115063,0.7637602683590883
LKA,0.6,Tsunami,0.47354,4383200.0,8739.566930115063,6.329104616361058
LKA,0.6,Wind,0.47354,4383200.0,8739.566930115063,1.5739469538956443
LKA,0.8,Earthquake,0.47354,4383200.0,12059.322424125585,0.5533929655478467
LKA,0.8,Flood,0.47354,4383200.0,12059.322424125585,12.999170272419152
LKA,0.8,Storm surge,0.47354,4383200.0,12059.322424125585,0.9941153932957447
LKA,0.8,Tsunami,0.47354,4383200.0,12059.322424125585,8.221287985174932
LKA,0.8,Wind,0.47354,4383200.0,12059.322424125585,2.0605346048963264
LKA,1.0,Earthquake,0.47354,4383200.0,26448.70975256245,1.2126641362095105
LKA,1.0,Flood,0.47354,4383200.0,26448.70975256245,29.200872730791016
LKA,1.0,Storm surge,0.47354,4383200.0,26448.70975256245,2.196095542399717
LKA,1.0,Tsunami,0.47354,4383200.0,26448.70975256245,17.983996322225853
LKA,1.0,Wind,0.47354,4383200.0,26448.70975256245,4.526887520754734
LSO,0.2,Earthquake,0.46627,467484.60000000003,324.41007686162664,0.21702620005139256
LSO,0.2,Flood,0.46627,467484.60000000003,324.41007686162664,0.1446516153477332
LSO,0.4,Earthquake,0.46627,467484.60000000003,815.9127905863752,1.2909029569976251
LSO,0.4,Flood,0.46627,467484.60000000003,815.9127905863752,0.787991266511947
LSO,0.6,Earthquake,0.46627,467484.60000000003,1373.952781750282,2.0221387165564537
LSO,0.6,Flood,0.46627,467484.60000000003,1373.952781750282,1.3766753588713139
LSO,0.8,Earthquake,0.46627,467484.60000000003,2335.280165909679,2.4782269621948747
LSO,0.8,Flood,0.46627,467484.60000000003,2335.280165909679,1.757795780286449
LSO,1.0,Earthquake,0.46627,467484.60000000003,5275.928457836447,4.900621765393738
LSO,1.0,Flood,0.46627,467484.60000000003,5275.928457836447,4.416509197987242
LTU,0.2,Earthquake,0.5787100000000001,577611.0,3217.8445927577045,0.1158151306184424
LTU,0.2,Flood,0.5787100000000001,577611.0,3217.8445927577045,0.17341524362552155
LTU,0.4,Earthquake,0.5787100000000001,577611.0,14143.16251708629,0.46708392202220683
LTU,0.4,Flood,0.5787100000000001,577611.0,14143.16251708629,3.0769174785499316
LTU,0.6,Earthquake,0.5787100000000001,577611.0,23068.226391527005,1.1166341099757147
LTU,0.6,Flood,0.5787100000000001,577611.0,23068.226391527005,1.4647420735087804
LTU,0.8,Earthquake,0.5787100000000001,577611.0,37181.65947218051,2.0066345055489525
LTU,0.8,Flood,0.5787100000000001,577611.0,37181.65947218051,3.0304762068322155
LTU,1.0,Earthquake,0.5787100000000001,577611.0,83029.13613954895,0.7375194335264946
LTU,1.0,Flood,0.5787100000000001,577611.0,83029.13613954895,9.334758164657943
LVA,0.2,Earthquake,0.5556300000000001,372488.2,5477.498344532645,1.6934144275506262
LVA,0.2,Flood,0.5556300000000001,372488.2,5477.498344532645,8.25493383097225
LVA,0.4,Earthquake,0.5556300000000001,372488.2,12747.70101107873,1.6158421006065218
LVA,0.4,Flood,0.5556300000000001,372488.2,12747.70101107873,11.337904217199458
LVA,0.6,Earthquake,0.5556300000000001,372488.2,18978.704049506145,2.830200554606307
LVA,0.6,Flood,0.5556300000000001,372488.2,18978.704049506145,8.248408558918277
LVA,0.8,Earthquake,0.5556300000000001,372488.2,29901.826305427618,5.545602654493417
LVA,0.8,Flood,0.5556300000000001,372488.2,29901.826305427618,16.14612407613583
LVA,1.0,Earthquake,0.5556300000000001,372488.2,64813.77667321526,3.497930405303107
LVA,1.0,Flood,0.5556300000000001,372488.2,64813.77667321526,43.981015038356674
MAR,0.2,Earthquake,0.40509,7616234.600000001,2593.5390540938574,14.105102016539856
MAR,0.2,Flood,0.40509,7616234.600000001,2593.5390540938574,1.1904218989423354
MAR,0.2,Tsunami,0.40509,7616234.600000001,2593.5390540938574,0.6559450543856749
MAR,0.4,Earthquake,0.40509,7616234.600000001,3937.9241754850273,20.0417994596249
MAR,0.4,Flood,0.40509,7616234.600000001,3937.9241754850273,2.50575056869906
MAR,0.4,Tsunami,0.40509,7616234.600000001,3937.9241754850273,0.9909852647261234
MAR,0.6,Earthquake,0.40509,7616234.600000001,5525.82847702824,7.835058202792458
MAR,0.6,Flood,0.40509,7616234.600000001,5525.82847702824,1.23802420479696
MAR,0.6,Tsunami,0.40509,7616234.600000001,5525.82847702824,0.506857325152248
MAR,0.8,Earthquake,0.40509,7616234.600000001,7934.785618676164,5.141672678041862
MAR,0.8,Flood,0.40509,7616234.600000001,7934.785618676164,0.8710462708671398
MAR,0.8,Tsunami,0.40509,7616234.600000001,7934.785618676164,0.26334304733342306
MAR,1.0,Earthquake,0.40509,7616234.600000001,17794.670396091184,12.41947286041772
MAR,1.0,Flood,0.40509,7616234.600000001,17794.670396091184,2.429141793429486
MAR,1.0,Tsunami,0.40509,7616234.600000001,17794.670396091184,0.6414737170683096
MDA,0.2,Earthquake,0.71941,477855.0,3007.05872696304,0.3953864534683789
MDA,0.2,Flood,0.71941,477855.0,3007.05872696304,13.237593631488803
MDA,0.4,Earthquake,0.71941,477855.0,4691.98370920019,0.5392514541123045
MDA,0.4,Flood,0.71941,477855.0,4691.98370920019,25.91196489580081
MDA,0.6,Earthquake,0.71941,477855.0,6840.911333493704,0.5039563355699693
