iso3,hazard,rp,income_cat,di,dy
CRI,Earthquake,10.0,0.8,10.003204336363103,10.578881887149105
CRI,Earthquake,10.0,1.0,20.45987494948446,19.287088526142394
CRI,Earthquake,10.0,tot,8.902207195980685,8.902126186160695
CRI,Earthquake,25.0,0.2,3.7996961421312907,2.7220817902861087
CRI,Earthquake,25.0,0.4,13.363824503120942,14.458916007756628
CRI,Earthquake,25.0,0.6,17.925694949512916,19.39867434947787
CRI,Earthquake,25.0,0.8,24.98616711608002,26.424103901658917
CRI,Earthquake,25.0,1.0,51.105009702099025,48.1756046255115
CRI,Earthquake,25.0,tot,22.23607848258884,22.235876134938202
CRI,Earthquake,50.0,0.2,7.585479551760984,5.434196574164585
CRI,Earthquake,50.0,0.4,26.678716852576095,28.864890142491287
CRI,Earthquake,50.0,0.6,35.785754282542605,38.726319712159395
CRI,Earthquake,50.0,0.8,49.88084642726125,52.75145493797646
CRI,Earthquake,50.0,1.0,102.02289645992023,96.17481243528162
CRI,Earthquake,50.0,tot,44.39073871481223,44.39033476041467
CRI,Earthquake,100.0,0.2,15.09857957423132,10.81654084453913
CRI,Earthquake,100.0,0.4,53.10286931608599,57.45435575219142
CRI,Earthquake,100.0,0.6,71.23004616542978,77.0831185821888
CRI,Earthquake,100.0,0.8,99.28573716043759,104.99956325801591
CRI,Earthquake,100.0,1.0,203.07230545972016,191.4319389673603
CRI,Earthquake,100.0,tot,88.35790753518097,88.35710348085911
CRI,Earthquake,250.0,0.2,37.210011135878496,26.65705096947685
CRI,Earthquake,250.0,0.4,130.87048015900925,141.5945921821995
CRI,Earthquake,250.0,0.6,175.54438137666477,189.9691084667823
CRI,Earthquake,250.0,0.8,244.68681753872053,258.768376116736
CRI,Earthquake,250.0,1.0,500.4658027859161,471.77845741829987
CRI,Earthquake,250.0,tot,217.75549859923785,217.7535170306989
CRI,Earthquake,500.0,0.2,65.00672955204463,46.57046988510496
CRI,Earthquake,500.0,0.4,228.63368352609538,247.36894935097362
CRI,Earthquake,500.0,0.6,306.67999756470397,331.88032146101074
CRI,Earthquake,500.0,0.8,427.4733945820561,452.0741953399383
CRI,Earthquake,500.0,1.0,874.3250565808473,824.2076165438414
CRI,Earthquake,500.0,tot,380.4237723611495,380.4203105161738
CRI,Earthquake,1000.0,0.2,86.32390741429604,61.84198095034948
CRI,Earthquake,1000.0,0.4,303.60784282641026,328.48682633463613
CRI,Earthquake,1000.0,0.6,407.247309594263,440.71139003371104
CRI,Earthquake,1000.0,0.8,567.6515953080373,600.3195554034728
CRI,Earthquake,1000.0,1.0,1161.0360304906371,1094.4839476000127
CRI,Earthquake,1000.0,tot,505.1733371267288,505.1687400644364
CRI,Earthquake,2500.0,0.2,123.78777127899306,88.68089064344089
CRI,Earthquake,2500.0,0.4,435.3711426190614,471.04739978139736
CRI,Earthquake,2500.0,0.6,583.9892832016446,631.9764985580963
CRI,Earthquake,2500.0,0.8,814.0077059870179,860.8532913361273
CRI,Earthquake,2500.0,1.0,1664.9160921235493,1569.4809541441398
CRI,Earthquake,2500.0,tot,724.4143990420532,724.4078068926403
CRI,Earthquake,5000.0,0.2,160.83696145399472,115.22273034529962
CRI,Earthquake,5000.0,0.4,565.6760030502854,612.0300228274812
CRI,Earthquake,5000.0,0.6,758.7749650985805,821.1245641488377
CRI,Earthquake,5000.0,0.8,1057.636991751111,1118.5032754497108
CRI,Earthquake,5000.0,1.0,2163.218891222204,2039.2203940365955
CRI,Earthquake,5000.0,tot,941.2287625152352,941.220197361585
CRI,Earthquake,AAL,0.2,1.1496117897020426,0.823575675946247
CRI,Earthquake,AAL,0.4,4.043273364401031,4.374597253849072
CRI,Earthquake,AAL,0.6,5.4234837423087425,5.869138979160927
CRI,Earthquake,AAL,0.8,7.559655093893672,7.994708061213419
CRI,Earthquake,AAL,1.0,15.462005241665478,14.575703156738923
CRI,Earthquake,AAL,tot,6.7276058463941935,6.727544625381718
CRI,Flood,10.0,0.2,7.363193404645475,6.845361976490975
CRI,Flood,10.0,0.4,20.917715702909728,23.63290119436151
CRI,Flood,10.0,0.6,24.473915458269683,26.814425980735642
CRI,Flood,10.0,0.8,31.257887684537526,32.67915581479368
CRI,Flood,10.0,1.0,60.54901791386549,54.58916080437608
CRI,Flood,10.0,tot,28.91234603284558,28.91220115415158
CRI,Flood,25.0,0.2,15.024974526286439,13.96831288651164
CRI,Flood,25.0,0.4,42.68367382365011,48.22414934850519
CRI,Flood,25.0,0.6,49.940282172539995,54.716214169160764
CRI,Flood,25.0,0.8,63.783326118988434,66.68349677573708
CRI,Flood,25.0,1.0,123.55338258173495,111.39198788118351
CRI,Flood,25.0,tot,58.99712784463999,58.99683221221964
CRI,Flood,50.0,0.2,20.87253309111083,19.404630100412344
CRI,Flood,50.0,0.4,59.29570081970096,66.99246985785854
CRI,Flood,50.0,0.6,69.37650312831457,76.01117651601095
CRI,Flood,50.0,0.8,88.60711096385147,92.635996862923
CRI,Flood,50.0,1.0,171.63903086452234,154.74455208339685
CRI,Flood,50.0,tot,81.95817577350003,81.95776508412034
CRI,Flood,100.0,0.2,23.2818645975283,21.64452050888467
CRI,Flood,100.0,0.4,66.14024621131178,74.7254588351283
CRI,Flood,100.0,0.6,77.38468278061201,84.78520128916644
CRI,Flood,100.0,0.8,98.83509350942856,103.32903660544079
CRI,Flood,100.0,1.0,191.4514476415264,172.60682702403773
CRI,Flood,100.0,tot,91.41866694808141,91.41820885253159
CRI,Flood,250.0,0.2,24.7786756384533,23.03606529420507
CRI,Flood,250.0,0.4,70.39245936047212,79.52962266633916
CRI,Flood,250.0,0.6,82.35981039976312,90.23611458973372
CRI,Flood,250.0,0.8,105.18928642967579,109.97214898122479
CRI,Flood,250.0,1.0,203.76002539441546,183.70386795674895
CRI,Flood,250.0,tot,97.29605144455596,97.29556389765034
CRI,Flood,500.0,0.2,26.115180475576647,24.27857773285265
CRI,Flood,500.0,0.4,74.18926689793109,83.81926780069293
CRI,Flood,500.0,0.6,86.80210935834954,95.10324330121506
CRI,Flood,500.0,0.8,110.86295487661461,115.90379404599045
CRI,Flood,500.0,1.0,214.75037304356175,193.61243255095405
CRI,Flood,500.0,tot,102.54397693040673,102.54346308634103
CRI,Flood,1000.0,0.2,27.74762567590619,25.796217931735715
CRI,Flood,1000.0,0.4,78.826796122619,89.05876294966686
CRI,Flood,1000.0,0.6,92.22806025051477,101.04809339359802
CRI,Flood,1000.0,0.8,117.79293564974863,123.1488748321369
CRI,Flood,1000.0,1.0,228.17429772490905,205.71503649571696
CRI,Flood,1000.0,tot,108.95394308473954,108.95339712057088
CRI,Flood,2500.0,0.2,30.427165839583957,28.28731402862065
CRI,Flood,2500.0,0.4,86.43896332754042,97.65901347338179
CRI,Flood,2500.0,0.6,101.13436432661267,110.80613279753678
CRI,Flood,2500.0,0.8,129.16799547496092,135.0411484298379
CRI,Flood,2500.0,1.0,250.20869454913088,225.58058135353892
CRI,Flood,2500.0,tot,119.47543670356576,119.4748380165832
CRI,Flood,5000.0,0.2,32.97067108756426,30.65194213964452
CRI,Flood,5000.0,0.4,93.66467596908862,105.82264641217378
CRI,Flood,5000.0,0.6,109.58851308867716,120.06877598174792
