iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
GMB,Flood,270.3530889371934,41.57,280.9644476779782,2759988.0,9.795444361975247e-05,0.00010179915553182775
GMB,Tsunami,4.01185867001743,41.57,4.169324122815614,2759988.0,1.4535783017960332e-06,1.5106312501415274e-06
GMB,all_hazards,334.37935517237986,41.57,347.5037448628958,2759988.0,0.00012115246702970443,0.00012590770136062035
GRC,Earthquake,38578.95364313775,39.81,38395.703613332844,10388805.0,0.0037135121549723717,0.0036958729722362527
GRC,Flood,754.9202513693363,39.81,751.334380175332,10388805.0,7.266670722660944e-05,7.232154036728305e-05
GRC,Tsunami,945.3710020173096,39.81,940.8804897577274,10388805.0,9.099901307391077e-05,9.056676776180971e-05
GRC,all_hazards,40279.2448965244,39.81,40087.91848326591,10388805.0,0.003877177875272892,0.003858761280365346
GTM,Earthquake,14445.762673006318,41.36,14936.918603888533,18406359.0,0.0007848245637828926,0.0008115085989515108
GTM,Flood,14198.828360868501,41.36,14681.58852513803,18406359.0,0.0007714088571709648,0.0007976367583147775
GTM,Storm surge,463.1791369286552,41.36,478.9272275842295,18406359.0,2.5164082528687787e-05,2.6019661334663172e-05
GTM,Tsunami,270.8727468171887,41.36,280.08242020897313,18406359.0,1.4716259028588366e-05,1.521661183556037e-05
GTM,Wind,2604.428410318549,41.36,2692.97897626938,18406359.0,0.00014149612154791446,0.00014630698968054356
GTM,all_hazards,31983.07132793921,41.36,33070.49575308915,18406359.0,0.0017376098840590477,0.0017966886201170556
HND,Earthquake,26735.581068796288,45.12,30157.735445602208,10825703.0,0.002469639252877738,0.002785753077246088
HND,Flood,17210.231667902204,45.12,19413.141321393683,10825703.0,0.0015897564959894248,0.001793245327476071
HND,Storm surge,6804.889278743112,45.12,7675.91510642223,10825703.0,0.0006285863632821916,0.0007090454177823122
HND,Tsunami,14.928685515891399,45.12,16.8395572619255,10825703.0,1.3790037945703294e-06,1.5555162802753316e-06
HND,Wind,2544.925000650059,45.12,2870.675400733266,10825703.0,0.0002350817310109153,0.0002651721925803124
HND,all_hazards,53310.555701607555,45.12,60134.30683141332,10825703.0,0.00492444284695484,0.00555477153136506
HRV,Earthquake,3487.526663167441,37.8,3295.7126966932315,3866300.0,0.0009020320883447846,0.0008524203234858215
HRV,Flood,453.63897220779165,37.8,428.6888287363631,3866300.0,0.00011733155011452595,0.00011087831485822702
HRV,Tsunami,7.199372937086786,37.8,6.803407425547013,3866300.0,1.8620833709455517e-06,1.7596687855435461e-06
HRV,all_hazards,3948.3650083123193,37.8,3731.2049328551416,3866300.0,0.0010212257218302561,0.000965058307129592
HTI,Earthquake,109093.71056256385,41.95,114412.02895248884,11772557.0,0.009266781257679522,0.009718536843991397
HTI,Flood,91746.30576222576,41.95,96218.93816813428,11772557.0,0.007793235213235813,0.00817315542988106
HTI,Storm surge,247106.3962450304,41.95,259152.83306197566,11772557.0,0.02099003608519631,0.02201330034434963
HTI,Tsunami,4635.971877106066,41.95,4861.975506114987,11772557.0,0.0003937948125548312,0.00041299230966687926
HTI,Wind,20233.909471632425,41.95,21220.312558374506,11772557.0,0.0017187353156695206,0.0018025236623084098
HTI,all_hazards,472816.2939185585,41.95,495866.08824708825,11772557.0,0.04016258268433599,0.04212050859019738
HUN,Earthquake,2745.1294166644443,37.38,2565.3234398729232,9562314.0,0.00028707794124564875,0.00026827433609405877
HUN,Flood,2120.573291109099,37.38,1981.6757405414533,9562314.0,0.00022176361193630527,0.0002072380953544773
HUN,all_hazards,4865.702707773543,37.38,4546.9991804143765,9562314.0,0.0005088415531819539,0.00047551243144853606
IDN,Earthquake,303698.5393961407,38.36,291246.899280899,283487931.0,0.001071292659002618,0.0010273696599835107
