iso3,hazard,income_cat,delta_l,l_baseline,N_q,EPR,JEL
AUT,Flood,0.8,0.15564083499622203,36223.436189992615,1835696.4000000001,0.56715,4.473348145911754
AUT,Flood,1.0,0.4889186046330223,79085.06559883228,1835696.4000000001,0.56715,6.43636814959924
AUT,all_hazards,0.2,5.981957088085261,12702.427622457846,3671392.8000000003,1.1343,980.5852415900627
AUT,all_hazards,0.4,22.143495930506536,33834.64220388755,3671392.8000000003,1.1343,1362.7412017002146
AUT,all_hazards,0.6,8.930632477368649,49127.95296194938,3671392.8000000003,1.1343,378.51433962346033
AUT,all_hazards,0.8,16.6244676410637,72446.87237998523,3671392.8000000003,1.1343,477.8118255451881
AUT,all_hazards,1.0,18.181925615732364,158170.13119766457,3671392.8000000003,1.1343,239.3559292334982
AZE,Earthquake,0.2,39.829632406144924,11554.903993975042,2040570.0,0.58411,4108.526530640477
AZE,Earthquake,0.4,40.06658094886923,15100.225986739848,2040570.0,0.58411,3162.605164822519
AZE,Earthquake,0.6,3.7345296280328584,17967.62694827785,2040570.0,0.58411,247.73725786342555
AZE,Earthquake,0.8,0.48775909702621134,22553.780360184042,2040570.0,0.58411,25.776988049044267
AZE,Earthquake,1.0,1.9335399423364104,40749.800162979445,2040570.0,0.58411,56.55536421912657
AZE,Flood,0.2,0.029887864065880215,11554.903993975042,2040570.0,0.58411,3.0830081786017227
AZE,Flood,0.4,0.2793124954465364,15100.225986739848,2040570.0,0.58411,22.047180462589797
AZE,Flood,0.6,0.42091277663572924,17967.62694827785,2040570.0,0.58411,27.92206448187767
AZE,Flood,0.8,2.228100762725279,22553.780360184042,2040570.0,0.58411,117.75019078680461
AZE,Flood,1.0,10.160472483300497,40749.800162979445,2040570.0,0.58411,297.1902515947587
AZE,all_hazards,0.2,39.8595202702108,23109.807987950084,4081140.0,1.16822,4111.609538819079
AZE,all_hazards,0.4,40.34589344431577,30200.451973479696,4081140.0,1.16822,3184.652345285109
AZE,all_hazards,0.6,4.155442404668587,35935.2538965557,4081140.0,1.16822,275.6593223453032
AZE,all_hazards,0.8,2.7158598597514905,45107.560720368085,4081140.0,1.16822,143.52717883584887
AZE,all_hazards,1.0,12.094012425636908,81499.60032595889,4081140.0,1.16822,353.74561581388525
BDI,Earthquake,0.2,1.0746730658047392,283.91707875596705,2809557.2,0.78255,8322.136228994597
BDI,Earthquake,0.4,1.9375117629861578,453.79270698819386,2809557.2,0.78255,9387.215977176967
BDI,Earthquake,0.6,2.866371109703631,624.1201634062439,2809557.2,0.78255,10097.507362663622
BDI,Earthquake,0.8,3.7829624498711643,870.488506116677,2809557.2,0.78255,9554.741975823796
BDI,Earthquake,1.0,7.015803230121097,1857.6601632852007,2809557.2,0.78255,8303.498397973557
BDI,Flood,0.2,0.14604169350402516,283.91707875596705,2809557.2,0.78255,1130.928937484322
BDI,Flood,0.4,0.26066485714676313,453.79270698819386,2809557.2,0.78255,1262.9173966538276
BDI,Flood,0.6,0.3847237830399582,624.1201634062439,2809557.2,0.78255,1355.2855102001936
BDI,Flood,0.8,0.48986541253288496,870.488506116677,2809557.2,0.78255,1237.2677978317233
BDI,Flood,1.0,1.0432954377876882,1857.6601632852007,2809557.2,0.78255,1234.7840599477106
BDI,all_hazards,0.2,1.2207147593087644,567.8341575119341,5619114.4,1.5651,9453.065166478918
BDI,all_hazards,0.4,2.198176620132921,907.5854139763877,5619114.4,1.5651,10650.133373830795
BDI,all_hazards,0.6,3.2510948927435894,1248.2403268124879,5619114.4,1.5651,11452.792872863816
BDI,all_hazards,0.8,4.272827862404049,1740.977012233354,5619114.4,1.5651,10792.009773655518
BDI,all_hazards,1.0,8.059098667908785,3715.3203265704014,5619114.4,1.5651,9538.282457921268
BEL,Earthquake,0.2,7.501171110188499,8127.668367913293,2375368.8000000003,0.50671,1110.8453988855842
BEL,Earthquake,0.4,36.770821978662106,18801.338279187432,2375368.8000000003,0.50671,2353.9926248135894
BEL,Earthquake,0.6,9.17448647055821,25491.19016723011,2375368.8000000003,0.50671,433.1937426338683
BEL,Earthquake,0.8,9.80754652719439,35139.51642043319,2375368.8000000003,0.50671,335.9348960570252
BEL,Earthquake,1.0,3.896962129948454,72685.51695401578,2375368.8000000003,0.50671,64.5310638493621
BEL,Flood,0.2,0.09642302174771317,8127.668367913293,2375368.8000000003,0.50671,14.279246331230564
BEL,Flood,0.4,0.4437859190675402,18801.338279187432,2375368.8000000003,0.50671,28.410264559419574
BEL,Flood,0.6,0.4246990463729403,25491.19016723011,2375368.8000000003,0.50671,20.053108147439996
BEL,Flood,0.8,0.16541568608505963,35139.51642043319,2375368.8000000003,0.50671,5.665932978967209
BEL,Flood,1.0,0.4834978842394537,72685.51695401578,2375368.8000000003,0.50671,8.006398778963852
BEL,all_hazards,0.2,7.597594131936212,16255.336735826586,4750737.600000001,1.01342,1125.1246452168148
BEL,all_hazards,0.4,37.21460789772964,37602.676558374864,4750737.600000001,1.01342,2382.4028893730087
BEL,all_hazards,0.6,9.599185516931149,50982.38033446022,4750737.600000001,1.01342,453.2468507813083
BEL,all_hazards,0.8,9.97296221327945,70279.03284086638,4750737.600000001,1.01342,341.6008290359924
BEL,all_hazards,1.0,4.380460014187908,145371.03390803156,4750737.600000001,1.01342,72.53746262832595
BEN,Earthquake,0.2,0.3366907510274285,1435.2966731060283,2892544.8000000003,0.7463500000000001,506.4215048310642
BEN,Earthquake,0.4,0.5714370311254069,2251.2803076804853,2892544.8000000003,0.7463500000000001,547.9758758365568
BEN,Earthquake,0.6,0.5616050989053561,3044.003549544251,2892544.8000000003,0.7463500000000001,398.298360619408
BEN,Earthquake,0.8,0.3068281657491313,4130.366761484934,2892544.8000000003,0.7463500000000001,160.37225574958143
BEN,Earthquake,1.0,0.4663295919440795,7795.232057537144,2892544.8000000003,0.7463500000000001,129.14766495145054
BEN,Flood,0.2,1.3055885861105134,1435.2966731060283,2892544.8000000003,0.7463500000000001,1963.7549723321172
BEN,Flood,0.4,2.327217138822741,2251.2803076804853,2892544.8000000003,0.7463500000000001,2231.669948649811
BEN,Flood,0.6,2.866952100822277,3044.003549544251,2892544.8000000003,0.7463500000000001,2033.2833942526552
BEN,Flood,0.8,2.740281618553784,4130.366761484934,2892544.8000000003,0.7463500000000001,1432.2842346745301
BEN,Flood,1.0,4.7995742137564905,7795.232057537144,2892544.8000000003,0.7463500000000001,1329.218246441833
BEN,all_hazards,0.2,1.6422793371379418,2870.5933462120565,5785089.600000001,1.4927000000000001,2470.1764771631815
BEN,all_hazards,0.4,2.8986541699481476,4502.560615360971,5785089.600000001,1.4927000000000001,2779.645824486368
BEN,all_hazards,0.6,3.428557199727633,6088.007099088502,5785089.600000001,1.4927000000000001,2431.5817548720634
BEN,all_hazards,0.8,3.0471097843029153,8260.733522969867,5785089.600000001,1.4927000000000001,1592.6564904241116
BEN,all_hazards,1.0,5.26590380570057,15590.464115074288,5785089.600000001,1.4927000000000001,1458.3659113932833
BFA,Earthquake,0.2,0.031759498673450404,897.8432119870055,4709756.2,0.47127,78.51296088004601
BFA,Earthquake,0.4,0.05011192522980144,1309.3473008741191,4709756.2,0.47127,84.94825297236596
BFA,Earthquake,0.6,0.07476923645757282,1784.4047656140735,4709756.2,0.47127,93.00317866642106
BFA,Earthquake,0.8,0.049053300074973105,2513.675402138964,4709756.2,0.47127,43.31389661479764
BFA,Earthquake,1.0,0.08120407698780605,5267.507199209935,4709756.2,0.47127,34.216920232970644
BFA,Flood,0.2,0.22531939859213618,897.8432119870055,4709756.2,0.47127,557.0142434889372
BFA,Flood,0.4,0.35337278625660473,1309.3473008741191,4709756.2,0.47127,599.0270919111283
BFA,Flood,0.6,0.5551369513702641,1784.4047656140735,4709756.2,0.47127,690.5179659273062
BFA,Flood,0.8,0.41086819030919564,2513.675402138964,4709756.2,0.47127,362.7952103153431
BFA,Flood,1.0,1.3071771036865059,5267.507199209935,4709756.2,0.47127,550.804545120601
BFA,all_hazards,0.2,0.2570788972655866,1795.686423974011,9419512.4,0.94254,635.5272043689831
BFA,all_hazards,0.4,0.4034847114864062,2618.6946017482383,9419512.4,0.94254,683.9753448834942
BFA,all_hazards,0.6,0.6299061878278369,3568.809531228147,9419512.4,0.94254,783.5211445937273
BFA,all_hazards,0.8,0.45992149038416874,5027.350804277928,9419512.4,0.94254,406.1091069301408
BFA,all_hazards,1.0,1.3883811806743118,10535.01439841987,9419512.4,0.94254,585.0214653535717
BGD,Earthquake,0.2,5.088926542798047,3446.664369783231,34712472.800000004,0.5792499999999999,29687.852409943385
