iso3,income_cat,y,c,income_share,diversified_share
CHL,0.6,18559.77895225344,21127.95098572998,0.14,0.3520425136919412
CHL,0.8,28849.60131740989,30635.528929308468,0.203,0.305382811058752
CHL,1.0,82573.76778028921,75306.05387056613,0.499,0.1911959744709741
CHN,0.2,7389.769639741201,8703.651198429952,0.073,0.4195169704014784
CHN,0.4,13727.478643955583,13592.003241383762,0.114,0.3094940697010315
CHN,0.6,18960.77239118696,18718.81148155483,0.157,0.3074711666902023
CHN,0.8,25366.095697087774,26110.953595289855,0.219,0.3358120393837152
CHN,1.0,53783.982236657954,52102.67909197109,0.4370000000000001,0.2942465574643629
CIV,0.2,2663.876819023841,2558.598529054138,0.076,0.041646371402538
CIV,0.4,3954.1681884571403,3905.229333819474,0.116,0.0679860906147106
CIV,0.6,5393.60119686644,5285.525908703943,0.1569999999999999,0.0606997794126803
CIV,0.8,7451.94322887903,7339.13788597108,0.218,0.0653730726610188
CIV,1.0,14202.180685906947,14577.27846158476,0.433,0.1032066432234508
CMR,0.2,1377.434989267212,1326.8414093286094,0.0539460539460539,0.0316689228178527
CMR,0.4,2423.535717994303,2358.82917213975,0.0959040959040959,0.041648755833942
CMR,0.6,3696.8720938361034,3611.9571698389914,0.1468531468531468,0.0453072830652471
CMR,0.8,5579.0039307038805,5528.505872202539,0.2247752247752248,0.058716017307631
CMR,1.0,11518.861615197351,11769.57472348896,0.4785214785214786,0.0871055501248839
COD,0.2,428.7419445530988,413.2263022302363,0.0549450549450549,0.0542446991844834
COD,0.4,736.2230767182144,721.2677275291396,0.0959040959040959,0.0695700248007332
COD,0.6,1049.4149251852323,1029.309152828043,0.1368631368631368,0.0706652650253436
COD,0.8,1554.413714727563,1517.667510009231,0.2017982017982017,0.0664001994761712
COD,1.0,3751.925039406189,3839.2480079936495,0.5104895104895105,0.109202985044253
COG,0.2,1260.6282500687098,1298.1088119165013,0.042,0.1740548503562672
COG,0.4,2541.5121856456053,2534.4029185036447,0.0819999999999999,0.14711238835351
COG,0.6,3905.1494452863235,4079.770551737576,0.132,0.1859010594862861
COG,0.8,6473.090516136124,6397.82200158847,0.207,0.1394922286689822
COG,1.0,16726.972267541823,16597.248380932408,0.537,0.1428506236909053
COL,0.2,3310.0066095619204,3148.7727749698743,0.034034034034034,0.0887262438750938
COL,0.4,7208.31274059934,6667.989405818558,0.072072072072072,0.0628695630676974
COL,0.6,11368.189286395871,10650.260856515752,0.1151151151151151,0.0746790925786757
COL,0.8,18161.31220947317,17688.69411821312,0.1911911911911911,0.1099533367815961
COL,1.0,52470.53215970218,54362.635850215185,0.5875875875875876,0.1632874428162123
COM,0.2,836.4665235290379,802.690619651046,0.045,0.0457236714978467
COM,0.4,1649.8623052922449,1623.2188086276706,0.091,0.0692256469200938
COM,0.6,2527.401696459175,2479.4221362554536,0.139,0.0665360022550237
COM,0.8,3959.8987755573085,3959.940390278493,0.222,0.0842662722546098
COM,1.0,8863.94002474103,8972.297370766135,0.503,0.0953159700481931
CRI,0.2,5469.719598015566,6197.692623739905,0.0459540459540459,0.3532606946306182
CRI,0.4,11597.365246992353,11856.455454111125,0.0879120879120879,0.2831988599829899
CRI,0.6,19230.99811769577,18593.077871219713,0.1378621378621378,0.2420426592062232
CRI,0.8,30774.349191115343,29371.67373859346,0.2177822177822178,0.2321888612164663
CRI,1.0,67794.74863669495,68848.2811028498,0.5104895104895104,0.2783989122679204
CYP,0.2,15594.891374846893,22876.998080044956,0.0859140859140859,0.5680257507213278
CYP,0.4,30352.186905300186,33783.473908903594,0.1268731268731268,0.4306750421383301
CYP,0.6,40416.24620964789,43891.91492101649,0.1648351648351649,0.4164931133024269
CYP,0.8,57703.56715690936,57724.51841127623,0.2167832167832168,0.3665433738192922
CYP,1.0,122210.72554079568,108000.71186625876,0.4055944055944057,0.282937114202104
CZE,0.2,16301.900588551534,22781.85951874544,0.095,0.5628230703487843
CZE,0.4,31403.267448142924,35251.92999216399,0.147,0.4557479122389203
CZE,0.6,40359.094676634864,43405.43760939921,0.181,0.4319253084262513
CZE,0.8,53681.360951621835,53237.608559594606,0.222,0.3839539975305989
CZE,1.0,98063.4239007902,85132.21188583823,0.3550000000000001,0.2962453132692646
