iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta
ESP,48373.04556991848,47068.1645697859,48807137.0,33.4,Spain,ECA,HICs,0.6061794448483766,0.8333333333333334,0.7666666666666666,0.166704778502992,0.4156147233998593,0.4163870952761186,0.37548703743449124,0.0812422216249412,0.151693384007829,3.705328168012808,0.06,1.5
EST,41546.12018681219,40549.4142087389,1371986.0,30.7,Estonia,ECA,HICs,0.3661017450190345,0.8333333333333334,0.8333333333333333,0.2239238114723021,0.3934341917789655,0.41486276502996233,0.34984546134115013,0.0804251761077301,0.111084342471674,3.705328168012808,0.06,1.5
ETH,2884.2646071234494,2999.69061538126,132059767.0,31.1,Ethiopia,SSA,LICs,0.7333333333333333,0.8333333333333334,0.5083333333333333,0.4834511165692108,0.0672654566228608,0.053695653559263964,0.46990949604072874,0.0440866017372992,0.850948840976875,3.705328168012808,0.06,1.5
FIN,55628.6815127631,55731.4370147575,5637214.0,27.4,Finland,ECA,HICs,0.6963851362078851,0.8333333333333334,0.8916666666666666,0.1999180459504058,0.5007850067930457,0.3960429164633453,0.37181313618402606,0.0841071727505231,0.131887241270814,3.705328168012808,0.06,1.5
FRA,54464.9816695754,54392.1901766941,68516699.0,31.8,France,ECA,HICs,0.5654372974328619,1.0,0.95,0.1766812468382362,0.47741706714412796,0.39907648884071745,0.3582367567369778,0.0807033361442036,0.129188041552019,3.705328168012808,0.06,1.5
GAB,18923.090047667796,17981.0846193804,2538952.0,38.0,Gabon,SSA,UMICs,0.4267726317339799,0.8333333333333334,0.5041666666666667,0.2729777731386862,0.0671403513157279,0.3287238494211822,0.3691610248631774,0.0542300266071183,0.3385103735020069,3.705328168012808,0.06,1.5
GBR,52517.9848574945,51736.1828004141,69226000.0,32.4,United Kingdom,ECA,HICs,0.642071262418551,0.8333333333333334,0.8500000000000001,0.2116697162815504,0.41176458287313455,0.4030566204098695,0.3770822660784824,0.0849087628111394,0.134187341614466,3.705328168012808,0.06,1.5
GEO,25000.632641698096,24167.4328171923,3673850.0,33.9,Georgia,ECA,UMICs,0.4799341211716937,0.8333333333333334,0.6416666666666667,0.2604396764340878,0.38162846486507307,0.14656076408035013,0.4673214261773498,0.0885142830496042,0.487384383924351,3.705328168012808,0.06,1.5
GHA,7061.93402799185,6966.18464853549,34427414.0,43.5,Ghana,SSA,LMICs,0.5975740580549966,0.8333333333333334,0.475,0.4015998812071467,0.1197989368492973,0.21790887597755157,0.6103278665999207,0.0195187405733835,0.711727725664695,3.705328168012808,0.06,1.5
GIN,4028.4834738089894,3797.7783583026,14754785.0,29.6,Guinea,SSA,LMICs,0.491227769978424,0.6666666666666666,0.6666666666666666,0.5326179953434279,0.0907033631934299,0.07578394442800246,0.5096362513164531,0.0451187848464295,0.818802860470411,3.705328168012808,0.06,1.5
GMB,3030.97408356729,2863.96740381559,2759988.0,38.8,"Gambia, The",SSA,LICs,0.6666666666666667,0.8333333333333334,1.0,0.5058967226596787,0.10449421372321882,0.14951729681772497,0.39904179045832605,0.0168632764430044,0.692398782635111,3.705328168012808,0.06,1.5
