iso3,hazard,protection,ew
CIV,Earthquake,0.0,0.3515720969429335
CIV,Flood,6.647398201861451,0.3515720969429335
CMR,Earthquake,0.0,0.6181845322890618
CMR,Flood,6.689456409942338,0.6181845322890618
COD,Earthquake,0.0,0.4
COD,Flood,2.0412240924724405,0.4
COG,Earthquake,0.0,0.3629035296856086
COG,Flood,4.090961265888399,0.3629035296856086
COL,Earthquake,0.0,0.583481532649143
COL,Flood,19.348756242643905,0.583481532649143
COL,Storm surge,10.3584890210243,0.583481532649143
COL,Tsunami,0.0,0.583481532649143
COL,Wind,0.0,0.583481532649143
COM,Earthquake,0.0,0.6000000000000001
COM,Storm surge,2.176587109140166,0.6000000000000001
COM,Tsunami,0.0,0.6000000000000001
COM,Wind,0.0,0.6000000000000001
CRI,Earthquake,0.0,0.8263909380371303
CRI,Flood,16.97706926870485,0.8263909380371303
CRI,Tsunami,0.0,0.8263909380371303
CRI,Wind,0.0,0.8263909380371303
CYP,Earthquake,0.0,0.4365650299807803
CYP,Flood,13.636545064502624,0.4365650299807803
CYP,Tsunami,0.0,0.4365650299807803
CZE,Earthquake,0.0,0.7777441399174381
CZE,Flood,87.12338671746967,0.7777441399174381
DEU,Earthquake,0.0,0.8288874185926249
DEU,Flood,107.45373631369054,0.8288874185926249
DNK,Earthquake,0.0,0.7946013699842172
DNK,Flood,34.01653151518984,0.7946013699842172
DOM,Earthquake,0.0,0.8114523226201735
DOM,Flood,82.89331375838903,0.8114523226201735
DOM,Storm surge,8.93038020271385,0.8114523226201735
DOM,Tsunami,0.0,0.8114523226201735
DOM,Wind,0.0,0.8114523226201735
DZA,Earthquake,0.0,0.4303272963345212
DZA,Flood,19.56732746899983,0.4303272963345212
DZA,Tsunami,0.0,0.4303272963345212
ECU,Earthquake,0.0,0.5041280465060598
ECU,Flood,17.79677835778031,0.5041280465060598
ECU,Tsunami,0.0,0.5041280465060598
EGY,Earthquake,0.0,0.661233132045334
EGY,Flood,28.362384628923888,0.661233132045334
EGY,Tsunami,0.0,0.661233132045334
ESP,Earthquake,0.0,0.846283972014659
ESP,Flood,97.01162927492187,0.846283972014659
ESP,Tsunami,0.0,0.846283972014659
EST,Earthquake,0.0,0.5575839205548966
EST,Flood,45.60897104275177,0.5575839205548966
ETH,Earthquake,0.0,0.8
ETH,Flood,1.950725220309619,0.8
FIN,Earthquake,0.0,0.9111164864944634
FRA,Earthquake,0.0,0.8331997399350071
FRA,Flood,123.33642676517096,0.8331997399350071
FRA,Storm surge,26.980835281047376,0.8331997399350071
FRA,Tsunami,0.0,0.8331997399350071
FRA,Wind,0.0,0.8331997399350071
GAB,Earthquake,0.0,0.2934889000307104
GAB,Flood,16.896660447576487,0.2934889000307104
GBR,Earthquake,0.0,0.892841058757993
GBR,Flood,223.8547886585337,0.892841058757993
GBR,Storm surge,262.0201151411071,0.892841058757993
GBR,Tsunami,0.0,0.892841058757993
GBR,Wind,0.0,0.892841058757993
GEO,Earthquake,0.0,0.3753251800319887
GEO,Flood,26.91032266873532,0.3753251800319887
GHA,Earthquake,0.0,0.6733557627182511
GHA,Flood,8.085817558108284,0.6733557627182511
GIN,Earthquake,0.0,0.4747194246428278
GIN,Flood,3.3881969460603267,0.4747194246428278
GIN,Tsunami,0.0,0.4747194246428278
GMB,Earthquake,0.0,0.8
GMB,Flood,1.7642068231308456,0.8
GMB,Tsunami,0.0,0.8
GRC,Earthquake,0.0,0.7755713147866197
GRC,Flood,23.79384266732512,0.7755713147866197
GRC,Tsunami,0.0,0.7755713147866197
GTM,Earthquake,0.0,0.4
GTM,Flood,7.907902160253616,0.4
GTM,Storm surge,0.2606803205598659,0.4
GTM,Tsunami,0.0,0.4
GTM,Wind,0.0,0.4
HND,Earthquake,0.0,0.5335129090244716
HND,Flood,7.1468353380325285,0.5335129090244716
HND,Storm surge,1.0228653079735937,0.5335129090244716
HND,Tsunami,0.0,0.5335129090244716
HND,Wind,0.0,0.5335129090244716
HRV,Earthquake,0.0,0.4877557045058928
HRV,Flood,174.63985738905689,0.4877557045058928
HRV,Tsunami,0.0,0.4877557045058928
HTI,Earthquake,0.0,0.6000000000000001
HTI,Flood,1.6676142525833615,0.6000000000000001
HTI,Storm surge,1.263964799331366,0.6000000000000001
HTI,Tsunami,0.0,0.6000000000000001
HTI,Wind,0.0,0.6000000000000001
HUN,Earthquake,0.0,0.7762924710809507
HUN,Flood,99.94603882387682,0.7762924710809507
IDN,Earthquake,0.0,0.7309248779754527
IDN,Flood,98.11931513392614,0.7309248779754527
IDN,Storm surge,50.24983609459916,0.7309248779754527
IDN,Tsunami,0.0,0.7309248779754527
IDN,Wind,0.0,0.7309248779754527
IND,Earthquake,0.0,0.766967178241663
IND,Flood,99.18870003997496,0.766967178241663
IND,Storm surge,74.4473620075114,0.766967178241663
IND,Tsunami,0.0,0.766967178241663
IND,Wind,0.0,0.766967178241663
IRL,Earthquake,0.0,0.8874838915392584
IRL,Flood,195.4081349382052,0.8874838915392584
IRL,Tsunami,0.0,0.8874838915392584
IRN,Earthquake,0.0,0.436906467022161
IRN,Flood,17.8939772537091,0.436906467022161
IRN,Tsunami,0.0,0.436906467022161
IRN,Wind,0.0,0.436906467022161
IRQ,Earthquake,0.0,0.5997007123556064
IRQ,Flood,20.81304447676448,0.5997007123556064
ISL,Earthquake,0.0,0.6029074554510778
ISR,Earthquake,0.0,0.7978486816808547
ISR,Flood,96.4215571546531,0.7978486816808547
ISR,Tsunami,0.0,0.7978486816808547
ITA,Earthquake,0.0,0.7794301766653018
ITA,Flood,60.0683993524395,0.7794301766653018
ITA,Tsunami,0.0,0.7794301766653018
JOR,Earthquake,0.0,0.7056089058662753
JOR,Flood,16.64202209556982,0.7056089058662753
JPN,Earthquake,0.0,0.7847495148207655
JPN,Flood,195.12008155808297,0.7847495148207655
JPN,Storm surge,219.5994180638901,0.7847495148207655
JPN,Tsunami,0.0,0.7847495148207655
JPN,Wind,0.0,0.7847495148207655
