iso3,hazard,rp,income_cat,di
ALB,all_hazards,500.0,1.0,2275.5172007369756
ALB,all_hazards,500.0,tot,3709.4600382132317
ALB,all_hazards,1000.0,0.2,6523.623796074207
ALB,all_hazards,1000.0,0.4,4941.692383678245
ALB,all_hazards,1000.0,0.6,4776.952776843038
ALB,all_hazards,1000.0,0.8,3718.717099539565
ALB,all_hazards,1000.0,1.0,2749.469064222153
ALB,all_hazards,1000.0,tot,4542.091024071442
ALB,all_hazards,2500.0,0.2,8870.934951377434
ALB,all_hazards,2500.0,0.4,6476.90758762459
ALB,all_hazards,2500.0,0.6,6186.314718436715
ALB,all_hazards,2500.0,0.8,5024.00140129297
ALB,all_hazards,2500.0,1.0,3612.5355212967906
ALB,all_hazards,2500.0,tot,6034.1388360057
ALB,all_hazards,5000.0,0.2,11205.905573785409
ALB,all_hazards,5000.0,0.4,8094.655432945712
ALB,all_hazards,5000.0,0.6,7741.135955556005
ALB,all_hazards,5000.0,0.8,6340.780724180109
ALB,all_hazards,5000.0,1.0,4527.640964152541
ALB,all_hazards,5000.0,tot,7582.023730123956
ALB,all_hazards,AAL,0.2,118.38803892207791
ALB,all_hazards,AAL,0.4,123.17420942440472
ALB,all_hazards,AAL,0.6,134.020613674404
ALB,all_hazards,AAL,0.8,72.76782119530583
ALB,all_hazards,AAL,1.0,68.48434172771839
ALB,all_hazards,AAL,tot,103.36700498878217
ARG,Earthquake,10.0,0.2,4.1522079307320245
ARG,Earthquake,10.0,0.4,5.992819829972595
ARG,Earthquake,10.0,0.6,8.240084146051657
ARG,Earthquake,10.0,0.8,23.806169307681188
ARG,Earthquake,10.0,1.0,129.77777089648598
ARG,Earthquake,10.0,tot,34.393810422184686
ARG,Earthquake,25.0,0.2,10.376140897715759
ARG,Earthquake,25.0,0.4,14.975729531795915
ARG,Earthquake,25.0,0.6,20.59152035129239
ARG,Earthquake,25.0,0.8,59.490317222103066
ARG,Earthquake,25.0,1.0,324.3075632717769
ARG,Earthquake,25.0,tot,85.94825425493681
ARG,Earthquake,50.0,0.2,20.733277602605504
ARG,Earthquake,50.0,0.4,29.924030595287633
ARG,Earthquake,50.0,0.6,41.145326756022655
ARG,Earthquake,50.0,0.8,118.8716762611085
ARG,Earthquake,50.0,1.0,648.0211481533024
ARG,Earthquake,50.0,tot,171.73909187366536
ARG,Earthquake,100.0,0.2,41.39339553664327
ARG,Earthquake,100.0,0.4,59.74247093116135
ARG,Earthquake,100.0,0.6,82.14546766510527
ARG,Earthquake,100.0,0.8,237.3239006340986
ARG,Earthquake,100.0,1.0,1293.7556818440037
ARG,Earthquake,100.0,tot,342.87218332220243
ARG,Earthquake,250.0,0.2,102.91784285973027
ARG,Earthquake,250.0,0.4,148.53978891154966
ARG,Earthquake,250.0,0.6,204.24114096443967
ARG,Earthquake,250.0,0.8,590.0666904868076
ARG,Earthquake,250.0,1.0,3216.709869694898
ARG,Earthquake,250.0,tot,852.4950665834851
ARG,Earthquake,500.0,0.2,191.13364045944303
ARG,Earthquake,500.0,0.4,275.8603349900809
ARG,Earthquake,500.0,0.6,379.30597571238235
